"Price","Review.Scores.Cleanliness","Review.Scores.Communication","Minimum.Nights","Beds","Bathrooms","Guests.Included","Reviews.per.Month","Room.Type","Neighbourhood.Cleansed","Cancellation.Policy"
36,9,10,10,1,1,1,0.39,"Private room","Dorchester","moderate"
175,10,9,1,1,1,1,0.95,"Private room","South Boston Waterfront","flexible"
189,10,9,2,1,1,1,1.25,"Entire home/apt","South Boston","strict"
200,8,10,2,2,1,1,0.42,"Entire home/apt","South Boston","flexible"
524,10,8,2,2,1,1,0.44,"Entire home/apt","Allston","flexible"
110,10,10,1,1,1,0,4.41,"Entire home/apt","Allston","strict"
48,5,8,5,1,1,1,0.35,"Private room","East Boston","moderate"
128,8,8,2,2,1,1,2.09,"Entire home/apt","East Boston","strict"
89,9,10,1,2,1,1,8.73,"Entire home/apt","East Boston","moderate"
120,10,10,1,2,1,2,8.49,"Private room","East Boston","moderate"
199,9,10,3,2,1,0,2.57,"Entire home/apt","East Boston","strict"
92,8,10,1,1,1,1,2.09,"Private room","East Boston","flexible"
150,9,10,1,2,1,1,4.85,"Entire home/apt","Beacon Hill","flexible"
133,9,10,2,1,1,2,5.5,"Entire home/apt","Beacon Hill","strict"
255,10,10,1,1,1,1,5,"Entire home/apt","Beacon Hill","strict"
113,9,10,1,1,1,1,1.16,"Private room","Beacon Hill","strict"
175,9,9,4,1,1,2,1.29,"Entire home/apt","Beacon Hill","strict"
100,9,10,2,1,1,1,1.43,"Shared room","Beacon Hill","strict"
324,10,10,3,2,1,4,1.65,"Entire home/apt","Beacon Hill","strict"
145,9,10,7,1,1,1,0.19,"Entire home/apt","Beacon Hill","strict"
200,10,10,25,1,1,1,1,"Private room","Beacon Hill","strict"
150,10,10,7,1,1,1,0.48,"Entire home/apt","Beacon Hill","strict"
140,10,10,2,1,1,1,0.39,"Entire home/apt","Beacon Hill","strict"
375,10,10,3,2,1.5,4,4.08,"Entire home/apt","Beacon Hill","strict"
70,10,10,1,1,1,1,2.28,"Private room","Brighton","moderate"
55,8,10,3,1,1,1,0.83,"Private room","Brighton","moderate"
81,10,10,1,1,0.5,1,2.67,"Private room","Brighton","strict"
