"Price","Review.Scores.Cleanliness","Review.Scores.Communication","Minimum.Nights","Beds","Bathrooms","Guests.Included","Reviews.per.Month","Room.Type","Neighbourhood.Cleansed","Cancellation.Policy"
100,10,10,2,2,1,1,5.85,"Entire home/apt","B","strict"
75,10,10,4,2,1,1,0.54,"Entire home/apt","B","flexible"
60,10,10,1,2,1,1,0.13,"Private room","B","flexible"
45,10,10,1,1,1,1,1,"Private room","B","flexible"
85,9,10,4,1,1,1,0.61,"Entire home/apt","C","strict"
80,8,10,29,1,1,2,0.17,"Entire home/apt","B","moderate"
200,9,10,2,1,1,1,0.06,"Entire home/apt","A","flexible"
95,9,10,1,1,1,1,1.41,"Entire home/apt","Dupont Circle, Connecticut Avenue/K Street","strict"
75,9,10,3,1,1,1,0.32,"Entire home/apt","Dupont Circle, Connecticut Avenue/K Street","moderate"
250,7,8,2,2,2.5,1,0.04,"Entire home/apt","Dupont Circle, Connecticut Avenue/K Street","flexible"
800,9,10,1,1,1,1,0.28,"Private room","Dupont Circle, Connecticut Avenue/K Street","flexible"
80,10,10,2,1,1,1,8.28,"Entire home/apt","Dupont Circle, Connecticut Avenue/K Street","strict"
149,10,10,2,1,1,1,0.29,"Entire home/apt","Dupont Circle, Connecticut Avenue/K Street","flexible"
500,10,10,2,2,2,1,0.13,"Entire home/apt","Dupont Circle, Connecticut Avenue/K Street","strict"
650,10,10,2,1,1,1,0.08,"Entire home/apt","Dupont Circle, Connecticut Avenue/K Street","flexible"
120,10,10,1,2,1,1,0.36,"Entire home/apt","Dupont Circle, Connecticut Avenue/K Street","moderate"
145,8,9,180,1,1,1,1.6,"Entire home/apt","Dupont Circle, Connecticut Avenue/K Street","strict"
75,8,9,3,1,1,1,0.27,"Entire home/apt","Dupont Circle, Connecticut Avenue/K Street","moderate"
85,8,10,2,1,1,1,0.72,"Entire home/apt","Dupont Circle, Connecticut Avenue/K Street","moderate"
160,9,10,3,2,1,1,0.07,"Entire home/apt","Dupont Circle, Connecticut Avenue/K Street","flexible"
500,10,10,3,2,1,1,0.41,"Entire home/apt","Brightwood Park, Crestwood, Petworth","flexible"
250,10,10,3,2,2,1,0.97,"Entire home/apt","Kalorama Heights, Adams Morgan, Lanier Heights","moderate"
350,10,10,2,1,1,2,1.08,"Entire home/apt","Kalorama Heights, Adams Morgan, Lanier Heights","flexible"
95,10,10,3,2,1,1,1.73,"Entire home/apt","Kalorama Heights, Adams Morgan, Lanier Heights","flexible"
75,8,9,7,1,1,1,0.78,"Entire home/apt","Kalorama Heights, Adams Morgan, Lanier Heights","moderate"
119,10,10,2,1,1,2,8.15,"Entire home/apt","Kalorama Heights, Adams Morgan, Lanier Heights","strict"
101,10,10,5,2,1,2,1.49,"Entire home/apt","Kalorama Heights, Adams Morgan, Lanier Heights","strict"
140,10,9,1,2,1,1,0.28,"Entire home/apt","Kalorama Heights, Adams Morgan, Lanier Heights","flexible"
85,10,10,1,1,1,1,5.75,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","strict"
95,10,10,3,2,1,1,2.32,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","flexible"
160,8,10,1,2,1,2,0.18,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","moderate"
361,9,10,4,6,3,1,1.9,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","flexible"
500,10,10,1,1,1,1,0.51,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","strict"
165,10,10,3,2,1,4,2.93,"Entire home/apt","Union Station, Stanton Park, Kingman Park","strict"
125,10,10,1,1,1,1,3.18,"Entire home/apt","Union Station, Stanton Park, Kingman Park","strict"
150,10,10,1,2,1,1,2.5,"Entire home/apt","Union Station, Stanton Park, Kingman Park","moderate"
125,9,9,1,2,1,2,0.36,"Entire home/apt","Union Station, Stanton Park, Kingman Park","moderate"
158,9,10,1,1,1,2,1.27,"Entire home/apt","Union Station, Stanton Park, Kingman Park","strict"
80,9,10,1,1,1,1,0.08,"Private room","Kalorama Heights, Adams Morgan, Lanier Heights","flexible"
87,10,10,2,2,1,2,5.29,"Entire home/apt","Kalorama Heights, Adams Morgan, Lanier Heights","strict"
500,10,10,1,1,1,1,0.04,"Entire home/apt","Kalorama Heights, Adams Morgan, Lanier Heights","flexible"
85,10,10,5,1,1,2,1.05,"Entire home/apt","Kalorama Heights, Adams Morgan, Lanier Heights","flexible"
95,10,10,3,1,1,1,0.36,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","flexible"
95,10,10,2,1,1,1,1.89,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","moderate"
79,10,10,2,1,1,2,3.89,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","flexible"
79,10,10,5,2,1,1,1,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","strict"
99,10,10,4,1,1,1,0.67,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","strict"
90,10,10,2,1,1,1,1,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","flexible"
99,9,10,2,1,1,1,0.09,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","flexible"
123,10,10,2,3,1,2,3.83,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","moderate"
193,10,10,2,3,2,4,5.02,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","strict"
89,10,10,1,1,1,1,0.89,"Private room","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","moderate"
135,10,10,2,2,1,1,0.38,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","strict"
122,10,10,1,2,1,2,6.16,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","strict"
79,10,10,5,1,1,1,0.22,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","moderate"
45,10,10,1,1,1,1,0.07,"Private room","Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace","flexible"
175,10,10,2,2,1,2,0.66,"Entire home/apt","Capitol Hill, Lincoln Park","strict"
128,9,10,1,1,1,1,1.31,"Entire home/apt","Capitol Hill, Lincoln Park","flexible"
280,9,10,3,3,2,1,3,"Entire home/apt","Capitol Hill, Lincoln Park","strict"
90,9,10,2,2,1,1,0.27,"Entire home/apt","Capitol Hill, Lincoln Park","flexible"
95,9,9,2,1,1,2,2.34,"Entire home/apt","Capitol Hill, Lincoln Park","strict"
185,10,10,1,1,1,1,1.16,"Entire home/apt","Capitol Hill, Lincoln Park","flexible"
119,10,10,1,1,1,1,3.45,"Entire home/apt","Capitol Hill, Lincoln Park","moderate"
97,10,10,7,1,1,1,0.66,"Entire home/apt","Capitol Hill, Lincoln Park","strict"
105,9,9,2,2,1,1,3.42,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","flexible"
100,10,10,1,1,1,1,0.16,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","flexible"
105,10,10,2,2,1,1,1.1,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","flexible"
61,10,10,3,1,1,1,1.36,"Private room","Edgewood, Bloomingdale, Truxton Circle, Eckington","moderate"
55,10,10,2,1,1,1,0.55,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","moderate"
54,10,10,1,1,1,1,0.76,"Private room","Edgewood, Bloomingdale, Truxton Circle, Eckington","strict"
115,10,10,2,2,1,1,7.17,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","moderate"
100,10,10,1,1,1,2,2.05,"Entire home/apt","Edgewood, Bloomingdale, Truxton Circle, Eckington","strict"
76,10,10,3,1,1,1,1.07,"Private room","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","flexible"
30,10,9,1,1,1,1,2.73,"Shared room","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","flexible"
79,10,10,5,2,1,1,6.09,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","strict"
70,9,10,1,1,1,1,0.1,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","flexible"
750,10,9,2,3,2,1,0.2,"Entire home/apt","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","flexible"
36,8,10,3,1,1,1,0.29,"Private room","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View","flexible"
95,10,10,1,1,1,1,3.71,"Entire home/apt","C","moderate"
425,9,9,3,4,1.5,1,1.42,"Entire home/apt","C","strict"
80,8,10,1,2,1.5,1,0.06,"Entire home/apt","Cathedral Heights, McLean Gardens, Glover Park","flexible"
47,8,9,1,1,1.5,1,2.71,"Private room","Cathedral Heights, McLean Gardens, Glover Park","moderate"
85,10,10,3,1,1,1,0.28,"Private room","Cathedral Heights, McLean Gardens, Glover Park","moderate"
700,10,10,1,1,1,1,0.08,"Private room","Capitol Hill, Lincoln Park","flexible"
65,10,10,1,1,1,1,0.28,"Private room","Capitol Hill, Lincoln Park","flexible"
375,10,10,2,1,1,1,0.81,"Private room","Capitol Hill, Lincoln Park","flexible"
60,10,10,1,1,1,2,0.46,"Entire home/apt","D","flexible"
150,8,10,2,1,1,1,1.71,"Private room","Union Station, Stanton Park, Kingman Park","flexible"
80,8,10,3,1,1,2,0.05,"Entire home/apt","Union Station, Stanton Park, Kingman Park","moderate"
129,10,10,2,1,1,2,0.46,"Entire home/apt","A","strict"
62,9,9,1,1,1,1,2.82,"Private room","Ivy City, Arboretum, Trinidad, Carver Langston","flexible"
