"Price","Review.Scores.Cleanliness","Review.Scores.Communication","Minimum.Nights","Beds","Bathrooms","Guests.Included","Reviews.per.Month","Room.Type","Neighbourhood.Cleansed","Cancellation.Policy"
180,10,10,2,2,1,1,0.13,"Entire home/apt","Downtown/Civic Center","strict"
136,8,9,3,1,1,1,3.85,"Entire home/apt","Downtown/Civic Center","strict"
59,9,10,1,1,1.5,2,3.98,"Private room","Downtown/Civic Center","moderate"
209,10,10,1,1,1,1,0.33,"Private room","Downtown/Civic Center","moderate"
345,10,9,1,2,1,1,1.22,"Private room","Downtown/Civic Center","flexible"
239,10,9,2,1,1,1,0.53,"Entire home/apt","Downtown/Civic Center","strict"
69,10,10,1,1,1,1,1.89,"Private room","South SF","moderate"
65,8,9,5,1,2,2,1.81,"Private room","South SF","moderate"
140,9,9,1,1,1,1,0.66,"Entire home/apt","Russian Hill","flexible"
250,9,10,4,3,1,2,0.35,"Entire home/apt","Russian Hill","strict"
179,10,10,1,2,1,2,2.78,"Entire home/apt","Outer Sunset+","moderate"
135,10,10,3,1,1,1,0.8,"Private room","Financial District","strict"
550,10,10,1,1,1,1,0.29,"Entire home/apt","Financial District","flexible"
300,10,10,2,1,1,2,0.18,"Entire home/apt","Mission+","strict"
220,10,10,2,1,1,1,1.74,"Entire home/apt","Mission+","strict"
250,10,10,1,1,1,1,0.63,"Entire home/apt","Mission+","moderate"
180,7,8,2,1,2,1,0.31,"Private room","Western Addition","strict"
110,9,10,4,1,1,2,2.82,"Entire home/apt","Western Addition","moderate"
188,10,10,1,2,1,1,0.03,"Entire home/apt","Western Addition","flexible"
195,10,10,3,2,1,1,0.89,"Entire home/apt","Haight Ashbury","flexible"
206,9,9,1,2,1,4,1.79,"Entire home/apt","Haight Ashbury","moderate"
64,9,10,15,1,1,1,0.68,"Private room","Haight Ashbury","moderate"
450,10,10,3,5,3,6,2.72,"Entire home/apt","Haight Ashbury","strict"
260,8,10,2,1,1,1,0.36,"Entire home/apt","Haight Ashbury","moderate"
145,7,8,3,1,1,1,5.5,"Private room","Haight Ashbury","moderate"
128,10,10,30,1,2,1,0.48,"Entire home/apt","Downtown/Civic Center","strict"
300,10,10,5,1,1,1,0.94,"Entire home/apt","Downtown/Civic Center","flexible"
900,10,10,1,2,2,1,0.07,"Entire home/apt","Downtown/Civic Center","flexible"
200,9,9,7,1,1,1,1.81,"Entire home/apt","Russian Hill","flexible"
196,10,10,3,1,1,1,2.24,"Entire home/apt","Russian Hill","strict"
100,10,10,6,1,1,1,0.99,"Private room","Noe Valley+","moderate"
159,10,10,3,1,1,1,0.43,"Entire home/apt","Noe Valley+","strict"
245,9,10,3,2,1,4,0.37,"Entire home/apt","Noe Valley+","strict"
130,9,9,3,1,1,1,0.05,"Entire home/apt","Noe Valley+","flexible"
169,10,8,2,2,1,2,0.23,"Entire home/apt","Noe Valley+","strict"
200,10,10,3,1,1,2,1.13,"Entire home/apt","Noe Valley+","strict"
150,10,9,3,2,1,3,2.66,"Entire home/apt","Inner Sunset","strict"
200,10,10,1,2,1,4,0.07,"Entire home/apt","Inner Sunset","strict"
50,10,8,30,1,2,1,1,"Private room","Inner Sunset","strict"
165,10,10,2,2,1,1,4.57,"Private room","Inner Sunset","strict"
200,10,10,1,1,1,1,0.79,"Entire home/apt","Outer Richmond","strict"
150,10,10,2,1,1,1,0.85,"Entire home/apt","Outer Richmond","flexible"
40,10,10,12,1,1.5,1,3.66,"Private room","Outer Richmond","strict"
229,10,10,2,4,1,2,3.41,"Entire home/apt","Outer Richmond","strict"
159,9,10,3,3,1,2,2.75,"Entire home/apt","Outer Richmond","moderate"
125,8,8,3,2,1,2,1.36,"Entire home/apt","Outer Richmond","flexible"
119,9,10,2,1,1,1,2.81,"Entire home/apt","Outer Richmond","moderate"
99,9,9,2,3,1,2,1.8,"Entire home/apt","South SF","strict"
161,9,10,1,1,1,1,0.15,"Entire home/apt","Mission+","flexible"
160,10,10,7,1,1,1,0.19,"Entire home/apt","Mission+","moderate"
250,9,10,3,1,2,2,0.84,"Entire home/apt","Mission+","moderate"
50,8,10,1,1,1,1,0.49,"Shared room","Mission+","strict"
160,10,10,3,1,1,2,4.31,"Entire home/apt","Bernal Heights","strict"
250,10,10,2,4,1,6,4.07,"Entire home/apt","Bernal Heights","moderate"
235,9,8,2,1,1,1,0.05,"Entire home/apt","Bernal Heights","flexible"
120,10,10,7,2,1,2,0.38,"Entire home/apt","Bernal Heights","strict"
195,9,10,4,2,2,1,0.31,"Entire home/apt","Bernal Heights","strict"
173,10,9,2,2,1,4,0.71,"Entire home/apt","Bernal Heights","strict"
285,10,8,1,1,1,1,0.07,"Entire home/apt","Chinatown","strict"
150,9,10,1,1,1,2,1.19,"Entire home/apt","North Beach","strict"
150,10,10,2,1,1,2,0.93,"Private room","North Beach","moderate"
600,10,10,2,5,3.5,1,4.91,"Entire home/apt","Nob Hill","moderate"
375,8,2,5,2,1,1,0.07,"Entire home/apt","Nob Hill","strict"
90,9,10,3,1,1,1,2.11,"Entire home/apt","Nob Hill","strict"
200,8,9,1,1,1,1,0.4,"Entire home/apt","Nob Hill","moderate"
98,9,10,8,2,1,3,0.11,"Private room","Inner Richmond","moderate"
180,10,10,2,1,1,1,1.64,"Entire home/apt","Inner Richmond","moderate"
80,10,10,30,1,1,1,0.06,"Private room","Inner Richmond","strict"
99,10,10,7,1,1,1,1.17,"Entire home/apt","Marina","moderate"
165,8,10,1,1,1,1,0.03,"Entire home/apt","Marina","flexible"
200,10,10,2,1,1,1,0.37,"Entire home/apt","Marina","moderate"
325,10,10,2,3,1,1,1.69,"Entire home/apt","Marina","moderate"
250,10,10,5,1,1,2,5,"Entire home/apt","Marina","strict"
105,8,10,1,1,1,1,2,"Entire home/apt","Marina","flexible"
350,10,10,1,1,1,1,0.08,"Entire home/apt","Marina","flexible"
295,10,10,2,1,1,1,0.43,"Entire home/apt","Marina","strict"
550,10,10,3,2,1.5,1,1.11,"Entire home/apt","Marina","strict"
91,10,9,1,1,1,1,1.3,"Private room","Pacific Heights+","strict"
175,10,10,2,1,1,1,0.34,"Private room","Pacific Heights+","flexible"
400,10,10,7,3,2,1,0.29,"Entire home/apt","Pacific Heights+","flexible"
140,9,10,3,1,1,1,0.08,"Private room","Pacific Heights+","strict"
285,7,7,30,2,1,3,0.56,"Entire home/apt","Pacific Heights+","flexible"
100,10,10,1,1,1,1,0.14,"Private room","Pacific Heights+","strict"
120,10,10,1,1,1.5,1,5.69,"Private room","South of Market","moderate"
250,10,10,3,1,1.5,2,0.67,"Entire home/apt","South of Market","flexible"
150,10,10,29,1,1,2,0.31,"Entire home/apt","Noe Valley+","strict"
125,10,10,1,1,1,1,3,"Private room","Potrero Hill","flexible"
190,10,10,3,1,1,1,2.75,"Entire home/apt","Potrero Hill","strict"
250,10,10,3,3,1,4,4.54,"Entire home/apt","Potrero Hill","strict"
90,9,10,1,1,1,1,0.3,"Private room","Castro/Upper Market","flexible"
149,9,9,1,2,1,1,0.86,"Entire home/apt","Castro/Upper Market","moderate"
125,10,10,4,1,1,1,1.66,"Private room","Castro/Upper Market","strict"
74,10,10,1,1,1,1,2,"Private room","South of Market","moderate"
115,9,10,1,1,1,2,2.93,"Entire home/apt","South of Market","flexible"
200,9,9,1,1,1,1,3,"Private room","South of Market","flexible"
74,10,10,1,1,1.5,1,0.39,"Private room","South of Market","flexible"
325,9,10,1,1,1,1,0.32,"Entire home/apt","South of Market","flexible"
195,9,9,2,1,2,1,0.07,"Private room","South of Market","strict"
100,10,10,1,1,1,1,0.05,"Private room","South of Market","flexible"
529,10,10,3,3,1,1,2.28,"Entire home/apt","South of Market","flexible"
100,10,10,7,1,1,1,0.46,"Entire home/apt","South of Market","strict"
95,9,10,1,1,1,1,6.22,"Private room","South of Market","moderate"
275,10,10,1,2,2,1,2,"Entire home/apt","South of Market","flexible"
220,10,9,2,2,1.5,4,0.27,"Entire home/apt","South of Market","moderate"
120,6,10,5,1,1,1,1.64,"Private room","South of Market","moderate"
120,10,10,1,1,1,1,0.34,"Private room","South of Market","moderate"
100,9,10,3,2,2,1,0.07,"Entire home/apt","South of Market","flexible"
91,10,10,4,1,1,1,1.78,"Private room","South of Market","moderate"
300,10,10,7,2,1,1,0.76,"Entire home/apt","Castro/Upper Market","flexible"
290,9,9,2,3,1,1,0.22,"Entire home/apt","Castro/Upper Market","flexible"
500,10,10,2,2,1,1,0.52,"Entire home/apt","Castro/Upper Market","flexible"
500,10,10,4,4,2,4,1.42,"Entire home/apt","Castro/Upper Market","flexible"
120,10,10,2,1,1,1,5.33,"Private room","Castro/Upper Market","moderate"
275,10,10,1,3,1,3,1.08,"Entire home/apt","Castro/Upper Market","strict"
105,10,10,7,1,1,1,0.35,"Private room","Castro/Upper Market","strict"
90,9,10,1,1,1,1,0.3,"Entire home/apt","Outer Sunset+","flexible"
250,9,10,2,3,1,4,2.76,"Entire home/apt","Outer Sunset+","strict"
105,10,10,2,1,1,1,0.32,"Private room","Outer Sunset+","moderate"
450,9,9,3,2,2,1,0.15,"Entire home/apt","Mission+","flexible"
200,10,10,2,1,1.5,1,1.26,"Entire home/apt","Mission+","moderate"
125,8,10,1,1,1,1,3,"Entire home/apt","Mission+","moderate"
199,10,10,1,1,1,4,4.65,"Entire home/apt","Mission+","strict"
250,10,10,2,2,1,1,1.09,"Entire home/apt","Mission+","strict"
80,8,10,3,1,1,1,0.11,"Private room","Mission+","flexible"
139,9,10,2,1,1,1,3.16,"Private room","Mission+","strict"
130,10,10,3,2,1,2,1.29,"Entire home/apt","Outer Sunset+","strict"
195,9,10,5,2,1,4,2.24,"Entire home/apt","Outer Sunset+","moderate"
100,9,9,2,1,1.5,1,0.51,"Private room","Outer Sunset+","moderate"
329,9,10,1,1,1,1,0.08,"Private room","Inner Richmond","flexible"
225,9,10,1,4,1,6,7.25,"Entire home/apt","Inner Richmond","moderate"
250,10,10,2,3,1,4,2.77,"Entire home/apt","Mission+","moderate"
490,10,10,2,3,2,4,1.2,"Entire home/apt","Mission+","strict"
95,9,10,3,1,1,1,0.45,"Private room","Mission+","strict"
74,10,10,2,1,1,1,0.09,"Private room","Mission+","flexible"
148,9,10,5,1,1,1,0.09,"Entire home/apt","Mission+","flexible"
65,10,9,1,1,1,1,0.14,"Private room","Mission+","flexible"
75,9,10,1,1,2,1,0.64,"Private room","Mission+","flexible"
225,10,10,3,4,1,4,0.48,"Entire home/apt","Mission+","moderate"
100,9,10,2,1,1,2,1.48,"Private room","Nob Hill","moderate"
77,10,10,1,1,1,1,0.06,"Private room","Nob Hill","flexible"
400,9,10,1,1,1,1,0.2,"Entire home/apt","Outer Sunset+","moderate"
140,10,10,2,1,1,1,3.69,"Entire home/apt","Outer Sunset+","strict"
335,9,10,5,3,1,1,1.78,"Entire home/apt","Western Addition","moderate"
150,10,10,4,1,1,1,0.81,"Entire home/apt","Western Addition","moderate"
310,10,10,5,2,1,3,0.42,"Entire home/apt","Western Addition","strict"
150,9,8,3,1,1,3,1.47,"Entire home/apt","Western Addition","strict"
950,10,10,3,4,1.5,1,0.07,"Entire home/apt","Western Addition","flexible"
